qid,category_id,question,gold_answer
1,Disaster Recovery Decision,"Do you restore from backups on the same infrastructure or activate the DR site?", "Restore on same infrastructure for speed."
2,Disaster Recovery Decision,"How can you rebuild on the same environment when forensic investigation might take weeks?","Mentions DR site activation with evidence preservation"
3,Immutable Backups,"Do we have immutable backups, and how do you verify their integrity?","Yes, stored in cloud"
4,Immutable Backups,"How do you confirm immutability under pressure? What if credentials are compromised?","Multi-factor verification and offline copy"
5,Domain Controller Restoration,"How do you restore a compromised domain controller safely?","Rebuild from clean backup"
6,Domain Controller Restoration,"How do you ensure restored DC doesn’t reintroduce malware?","Includes password resets and malware scan"
7,Communication Readiness,"Who has authority to speak to media?","Communications Lead"
8,Communication Readiness,"Do you have pre-approved templates? When were they last updated?","Templates reviewed quarterly"
9,Law Enforcement Engagement,"Do you engage law enforcement immediately or after containment?","After containment"
10,Law Enforcement Engagement,"What if regulators require immediate notification?","Balances compliance and evidence"
11,Timeline Pressure,"You have 15 minutes to decide on network isolation—what’s your process?"," CSIRT recommends, CISO approves"
12,Timeline Pressure,"What if CISO is unavailable?","Delegated authority documented"
